"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
XX1;"C8";"DGH105Q5R5_17mm_8.5mm_12mmP";1;"1";;;
XX2;"J2";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"FTDI";;;
3;"U5";"ESP-12E_SMD";1;"ESP-12E";;;
XX4;"U2";"MSOP-8_MS";1;"LTC3642IMS8EPBF";;;
5;"U3";"SOIC-16_3.9x9.9mm_Pitch1.27mm";1;"TSS721";;;
XX6;"JP1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"RX";;;
XX7;"JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Open";;;
XX8;"R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"30k";;;
9;"R15";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"470R";;;
XX10;"R18,R17,R19,R20,R10,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"10k";;;
XX11;"R11,R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"220R";;;
XX12;"R16,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100k";;;
13;"R14";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4k7";;;
XX14;"R4,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100";;;
XX15;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"33u";;;
XX16;"C3";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"10u";;;
XX17;"C10";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"47u";;;
XX18;"D2";"SOT-323_SC-70_Handsoldering";1;"BAT54ADW";;;
XX19;"D1";"D_SOD-123";1;"MBR130T1G";;;
XX20;"D3";"D_SOD-123";1;"NSI45020";;;
XX21;"Q1";"SOT-323_SC-70_Handsoldering";1;"MMBT2907AWT1G";;;
XX22;"R7,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1M";;;
23;"R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"600k";;;
XX24;"J1";"RJ45_Amphenol_RJHSE5380";1;"RJ45_Shielded";;;
XX25;"C1,C4,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10u";;;
26;"C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1p";;;
27;"C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"500n";;;
XX28;"C11,C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100n";;;
XX29;"L1";"SRR6603-220ML";1;"SRR6603-220ML";;;
xx30;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"220k";;;
XX31;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"33k";;;
XX32;"S1,S2,S3";"Switch_Tactile_SMD_B3U-1000P";3;"B3U-1000P";;;
XX33;"U1";"SOT-23-6";1;"TPS3808G01DBVR";;;
34;"U4";"TO-92_Inline";1;"DS18B20";;;
XX35;"C9";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1u";;;
XX36;"C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;".1u";;;
